Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Lamentable,that is to be regretted or lamented,expressing grief,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aching, agonized, anguished, bemoaning, bewailing, bitter, deploring, doleful, dolesome, dolorous, funeral, grieving, heartbroken, lugubrious, mournful, plaintive, plangent, regretful, rueful, sorrowful, sorry, wailing, weeping, woeful","aching, agonized, anguished, bemoaning, bewailing, bitter, deploring, doleful, dolesome, dolorous, funeral, grieving, heartbroken, lugubrious, mournful, plaintive, plangent, regretful, rueful, sorrowful, sorry, wailing, weeping, woeful",Oops! So Empty!,first
Lascivious,filled with or showing sexual desire,reflecting or producing sexual desire or behavior especially that is considered indecent or obscene,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bawdy, blue, coarse, crude, dirty, filthy, foul, gross, gutter, impure, indecent, lewd, locker-room, nasty, obscene, pornographic, porny, profane, raunchy, ribald, smutty, stag, trashy, unprintable, vulgar, wanton, X-rated","clean, decent, G-rated, nonobscene, wholesome",Oops! So Empty!,third
Leal,"loyal, true",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Lechery,inordinate (see inordinate sense 1) indulgence in sexual activity,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Leering,to cast a sidelong glance,"a lascivious, knowing, or wanton look",to look at someone in an evil or unpleasantly sexual way,"to look with an unpleasant, mean, or eager glance","an unpleasant, mean, or eager glance",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Lepers,a person affected with leprosy,a person shunned for moral or social reasons,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"castaway, castoff, offscouring, outcast, pariah, reject","castaway, castoff, offscouring, outcast, pariah, reject",Oops! So Empty!,second
Lewd,"obscene, vulgar","evil, wicked",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bawdy, blue, coarse, crude, dirty, filthy, foul, gross, gutter, impure, indecent, lascivious, locker-room, nasty, obscene, pornographic, porny, profane, raunchy, ribald, smutty, stag, trashy, unprintable, vulgar, wanton, X-rated","clean, decent, G-rated, nonobscene, wholesome",Oops! So Empty!,third
Lewdness,"obscene, vulgar","evil, wicked",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bawdy, blue, coarse, crude, dirty, filthy, foul, gross, gutter, impure, indecent, lascivious, locker-room, nasty, obscene, pornographic, porny, profane, raunchy, ribald, smutty, stag, trashy, unprintable, vulgar, wanton, X-rated","clean, decent, G-rated, nonobscene, wholesome",Oops! So Empty!,third
Liability,the quality or state of being liable,something for which one is liable,one that acts as a disadvantage,the quality or state of being liable,something for which one is liable,"debit, disadvantage, disbenefit, downside, drawback, handicap, incommodity, minus, negative, strike","advantage, asset, edge, plus",Oops! So Empty!,first
Liable,obligated according to law or equity (see equity sense 3),being in a position to incur,likely sense 1,judged by law to be responsible for something,not sheltered or protected (as from danger or accident),"endangered, exposed, open, sensitive, subject (to), susceptible, vulnerable","insusceptible, invulnerable, unexposed, unsusceptible","liable, open, exposed, subject, prone, susceptible, sensitive mean being by nature or through circumstances likely to experience something adverse

liable implies a possibility or probability of incurring something because of position, nature, or particular situation
liable to get lost

open stresses a lack of barriers preventing incurrence
a claim open to question

exposed suggests lack of protection or powers of resistance against something actually present or threatening
exposed to infection

subject implies an openness for any reason to something that must be suffered or undergone
all reports are subject to review

prone stresses natural tendency or propensity to incur something
prone to delay

susceptible implies conditions existing in one's nature or individual constitution that make incurrence probable
very susceptible to flattery

sensitive implies a readiness to respond to or be influenced by forces or stimuli
unduly sensitive to criticism",first
Ligature,something that is used to bind,the action of binding or tying,a compound note in mensural notation indicating a group of musical notes to be sung to one syllable,a printed or written character (such as æ or ﬀ) consisting of two or more letters or characters joined together,something that is used to bind,"band, bind, bond, bracelet, chain, cuff(s), fetter, handcuff(s), irons, manacle(s), shackle","band, bind, bond, bracelet, chain, cuff(s), fetter, handcuff(s), irons, manacle(s), shackle",Oops! So Empty!,fourth
Lineaments,"an outline, feature, or contour of a body or figure and especially of a face",a distinguishing or characteristic feature,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,fourth
Lingeringly,to be slow in parting or in quitting something,"to remain existent although often waning in strength, importance, or influence",to be slow to act,to move slowly,to pass (a period of time) slowly,"crawl, creep, dally, dawdle, delay, diddle, dillydally, drag, lag, loiter, lollygag 
 (also lallygag), mope, poke, shilly-shally, tarry","barrel, bolt, career, course, dash, fly, hasten, hotfoot (it), hurry, race, rip, rocket, run, rush, scoot, scud, scurry, speed, tear, whirl, whisk, whiz 
 (or whizz), zip",Oops! So Empty!,first
Lithe,easily bent or flexed,characterized by easy flexibility and grace,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bendy 
[chiefly British], flexible, limber, lissome 
 (also lissom), lithesome, pliable, pliant, supple, willowy","inflexible, rigid, stiff, stiffened",Oops! So Empty!,first
Lively,"full of life, movement, or incident",briskly alert and energetic,imparting spirit or vivacity,"active, intense","brilliant, fresh","active, airy, animate, animated, bouncing, brisk, energetic, frisky, gay, jaunty, jazzy, kinetic, mettlesome, peppy, perky, pert, pizzazzy 
 (or pizazzy), racy, snappy, spanking, sparky, spirited, sprightly, springy, vital, vivacious, zippy","dead, inactive, inanimate, lackadaisical, languid, languishing, languorous, leaden, lifeless, limp, listless, spiritless, vapid","lively, animated, vivacious, sprightly, gay mean keenly alive and spirited

lively suggests briskness, alertness, or energy
a lively debate on the issues

animated applies to what is spirited and active
an animated discussion of current events

vivacious suggests an activeness of gesture and wit, often playful or alluring
a vivacious party host

sprightly suggests lightness and spirited vigor of manner or wit
a tuneful, sprightly musical

gay stresses complete freedom from care and overflowing spirits
the gay spirit of Paris in the 1920s",third
Livid,discolored by bruising,"ashen, pallid",very angry,reddish,Oops! So Empty!,"angered, angry, apoplectic, ballistic, cheesed off 
[chiefly British], choleric, enraged, foaming, fuming, furious, hopping, horn-mad, hot, incensed, indignant, inflamed 
 (also enflamed), infuriate, infuriated, irate, ireful, mad, outraged, rabid, rankled, riled, riley, roiled, shirty 
[chiefly British], sore, steamed up, steaming, teed off, ticked, wrathful, wroth","angerless, delighted, pleased",Oops! So Empty!,first
Ludicrous,"amusing or laughable through obvious absurdity, incongruity, exaggeration, or eccentricity","meriting derisive laughter or scorn as absurdly inept, false, or foolish",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"antic, chucklesome, comedic, comic, comical, droll, farcical, funny, hilarious, humoristic, humorous, hysterical 
 (also hysteric), killing, laughable, ridiculous, riotous, risible, screaming, sidesplitting, uproarious","humorless, lame, unamusing, uncomic, unfunny, unhumorous, unhysterical","laughable, ludicrous, ridiculous, comic, comical mean provoking laughter or mirth

laughable applies to anything occasioning laughter
laughable attempts at skating

ludicrous suggests absurdity that excites both laughter and scorn
a thriller with a ludicrous plot

ridiculous suggests extreme absurdity, foolishness, or contemptibility
a ridiculous display of anger

comic applies especially to what arouses thoughtful amusement
a comic character

comical applies to what arouses spontaneous hilarity
a comical hat",first
Luminary,a person of prominence or brilliant achievement,a body that gives light,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"sphere, star, sun","sphere, star, sun",Oops! So Empty!,second
Magnate,"a person of rank, power, influence, or distinction often in a specified area",a person who has great wealth and power in a particular business or industry,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baron, captain, czar 
 (also tsar or tzar), king, lion, lord, mogul, monarch, Napoleon, prince, tycoon","baron, captain, czar 
 (also tsar or tzar), king, lion, lord, mogul, monarch, Napoleon, prince, tycoon",Oops! So Empty!,first
Malevolent,"having, showing, or arising from intense often vicious ill will, spite, or hatred",productive of harm or evil,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bad 
[slang], bitchy, catty, cruel, despiteful, hateful, malicious, malign, malignant, mean, nasty, spiteful, vicious, virulent","benevolent, benign, benignant, loving, unmalicious",Oops! So Empty!,first
Mallet,a hammer with a barrel-shaped head of wood or soft material,a club with a short thick head and a long thin handle,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
