,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
197,Pristine,belonging to the earliest period or state,"not spoiled, corrupted, or polluted (as by civilization)",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"brand-new, fresh, mint, span-new, virgin, virginal",stale,Oops! So Empty!,first,Oops! So Empty!
198,Privateer,a privately owned armed ship permitted by its government to make war on ships of an enemy country,a sailor on a privateer,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
199,Prodigious,causing amazement or wonder,"extraordinary in bulk, quantity, or degree",resembling or befitting a prodigy,Oops! So Empty!,Oops! So Empty!,"amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous 
 (or marvellous), miraculous, portentous, staggering, stunning, stupendous, sublime, surprising, wonderful, wondrous","amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous 
 (or marvellous), miraculous, portentous, staggering, stunning, stupendous, sublime, surprising, wonderful, wondrous","monstrous, prodigious, tremendous, stupendous mean extremely impressive

monstrous implies a departure from the normal (as in size, form, or character) and often carries suggestions of deformity, ugliness, or fabulousness
the monstrous waste of the project

prodigious suggests a marvelousness exceeding belief, usually in something felt as going far beyond a previous maximum (as of goodness, greatness, intensity, or size)
made a prodigious effort and rolled the stone aside

tremendous may imply a power to terrify or inspire awe
the tremendous roar of the cataract

stupendous implies a power to stun or astound, usually because of size, numbers, complexity, or greatness beyond description
a stupendous volcanic eruption",first,"monstrous, prodigious, tremendous, stupendous mean extremely impressive<br><br>monstrous implies a departure from the normal (as in size, form, or character) and often carries suggestions of deformity, ugliness, or fabulousness<br>the monstrous waste of the project<br><br>prodigious suggests a marvelousness exceeding belief, usually in something felt as going far beyond a previous maximum (as of goodness, greatness, intensity, or size)<br>made a prodigious effort and rolled the stone aside<br><br>tremendous may imply a power to terrify or inspire awe<br>the tremendous roar of the cataract<br><br>stupendous implies a power to stun or astound, usually because of size, numbers, complexity, or greatness beyond description<br>a stupendous volcanic eruption"
200,Profane,"to treat (something sacred) with abuse, irreverence, or contempt","to debase by a wrong, unworthy, or vulgar use",not concerned with religion or religious purposes,"not holy because unconsecrated, impure, or defiled",serving to debase or defile what is holy,"abase, bastardize, canker, cheapen, corrupt, debase, debauch, degrade, demean, demoralize, deprave, deteriorate, lessen, pervert, poison, prostitute, subvert, vitiate, warp","religious, sacred",Oops! So Empty!,third,Oops! So Empty!
201,Prostheses,an artificial device to replace or augment a missing or impaired part of the body,an artificial device to replace or augment a missing or impaired part of the body,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
202,Puddle,a very small pool of usually dirty or muddy water,"an earthy mixture (as of clay, sand, and gravel) worked while wet into a compact mass that becomes impervious to water when dry",to make muddy or turbid,to work (a wet mixture of earth or concrete) into a dense impervious mass,to strew with puddles,"billabong 
[Australian], mere 
[chiefly British], pool, stank 
[British dialect], well","billabong 
[Australian], mere 
[chiefly British], pool, stank 
[British dialect], well",Oops! So Empty!,third,Oops! So Empty!
203,Pungent,having a stiff and sharp point,marked by a sharp incisive quality,causing a sharp or irritating sensation,sharply painful,Oops! So Empty!,"nippy, sharp, strong, tangy","bland, mild, smooth","pungent, piquant, poignant, racy mean sharp and stimulating to the mind or the senses

pungent implies a sharp, stinging, or biting quality especially of odors
a cheese with a pungent odor

piquant suggests a power to whet the appetite or interest through tartness or mild pungency
a piquant sauce

poignant suggests something is sharply or piercingly effective in stirring one's emotions
felt a poignant sense of loss

racy implies having a strongly characteristic natural quality fresh and unimpaired
spontaneous, racy prose",third,"pungent, piquant, poignant, racy mean sharp and stimulating to the mind or the senses<br><br>pungent implies a sharp, stinging, or biting quality especially of odors<br>a cheese with a pungent odor<br><br>piquant suggests a power to whet the appetite or interest through tartness or mild pungency<br>a piquant sauce<br><br>poignant suggests something is sharply or piercingly effective in stirring one's emotions<br>felt a poignant sense of loss<br><br>racy implies having a strongly characteristic natural quality fresh and unimpaired<br>spontaneous, racy prose"
204,Quaint,pleasingly or strikingly old-fashioned or unfamiliar,marked by skillful design,"expert, skilled",Oops! So Empty!,Oops! So Empty!,"bizarre, bizarro, cranky, crazy, curious, eccentric, erratic, far-out, funky, funny, kinky, kooky 
 (also kookie), odd, off-kilter, off-the-wall, offbeat, out-of-the-way, outlandish, outré, peculiar, queer, queerish, quirky, remarkable, rum 
[chiefly British], screwy, spaced-out, strange, wacky 
 (also whacky), way-out, weird, weirdo, wild","bizarre, bizarro, cranky, crazy, curious, eccentric, erratic, far-out, funky, funny, kinky, kooky 
 (also kookie), odd, off-kilter, off-the-wall, offbeat, out-of-the-way, outlandish, outré, peculiar, queer, queerish, quirky, remarkable, rum 
[chiefly British], screwy, spaced-out, strange, wacky 
 (also whacky), way-out, weird, weirdo, wild","strange, singular, unique, peculiar, eccentric, erratic, odd, quaint, outlandish mean departing from what is ordinary, usual, or to be expected

strange stresses unfamiliarity and may apply to the foreign, the unnatural, the unaccountable
a journey filled with strange sights

singular suggests individuality or puzzling strangeness
a singular feeling of impending disaster

unique implies singularity and the fact of being without a known parallel
a career unique in the annals of science

peculiar implies a marked distinctiveness
the peculiar status of America's First Lady

eccentric suggests a wide divergence from the usual or normal especially in behavior
the eccentric eating habits of preschoolers

erratic stresses a capricious and unpredictable wandering or deviating
a friend's suddenly erratic behavior

odd applies to a departure from the regular or expected
an odd sense of humor

quaint suggests an old-fashioned but pleasant oddness
a quaint fishing village

outlandish applies to what is uncouth, bizarre, or barbaric
outlandish fashions of the time",first,"strange, singular, unique, peculiar, eccentric, erratic, odd, quaint, outlandish mean departing from what is ordinary, usual, or to be expected<br><br>strange stresses unfamiliarity and may apply to the foreign, the unnatural, the unaccountable<br>a journey filled with strange sights<br><br>singular suggests individuality or puzzling strangeness<br>a singular feeling of impending disaster<br><br>unique implies singularity and the fact of being without a known parallel<br>a career unique in the annals of science<br><br>peculiar implies a marked distinctiveness<br>the peculiar status of America's First Lady<br><br>eccentric suggests a wide divergence from the usual or normal especially in behavior<br>the eccentric eating habits of preschoolers<br><br>erratic stresses a capricious and unpredictable wandering or deviating<br>a friend's suddenly erratic behavior<br><br>odd applies to a departure from the regular or expected<br>an odd sense of humor<br><br>quaint suggests an old-fashioned but pleasant oddness<br>a quaint fishing village<br><br>outlandish applies to what is uncouth, bizarre, or barbaric<br>outlandish fashions of the time"
205,Querulous,habitually complaining,"fretful, whining",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"crabby, cranky, fussy, grouchy, grumpy","forbearing, long-suffering, patient, stoic 
 (or stoical), tolerant, uncomplaining",Oops! So Empty!,second,Oops! So Empty!
206,Rampant,rearing upon the hind legs with forelegs extended,"marked by a menacing wildness, extravagance, or absence of restraint",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"abandoned, intemperate, raw, runaway, unbounded, unbridled, unchecked, uncontrolled, unhampered, unhindered, unrestrained","bridled, checked, constrained, controlled, curbed, governed, hampered, hindered, restrained, temperate",Oops! So Empty!,first,Oops! So Empty!
207,Raucous,behaving in a rough and noisy way,disagreeably harsh or strident,loud and harsh,boisterously disorderly,Oops! So Empty!,"boisterous, hell-raising, knockabout, rambunctious, robustious, roisterous, rollicking, rowdy, rumbustious 
[chiefly British]",orderly,"loud, stentorian, earsplitting, raucous, strident mean marked by intensity or volume of sound

loud applies to any volume above normal and may suggest undue vehemence or obtrusiveness
loud shouts of protest

stentorian implies great power and range
an actor with a stentorian voice

earsplitting implies loudness that is physically discomforting
the earsplitting sound of a siren

raucous implies a loud harsh grating tone, especially of voice, and may suggest rowdiness
the raucous shouts of drunken revelers

strident implies a rasping discordant but insistent quality, especially of voice
the strident voices of hecklers",third,"loud, stentorian, earsplitting, raucous, strident mean marked by intensity or volume of sound<br><br>loud applies to any volume above normal and may suggest undue vehemence or obtrusiveness<br>loud shouts of protest<br><br>stentorian implies great power and range<br>an actor with a stentorian voice<br><br>earsplitting implies loudness that is physically discomforting<br>the earsplitting sound of a siren<br><br>raucous implies a loud harsh grating tone, especially of voice, and may suggest rowdiness<br>the raucous shouts of drunken revelers<br><br>strident implies a rasping discordant but insistent quality, especially of voice<br>the strident voices of hecklers"
